Mouse,input,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSSXDRMf2wYs9fbCZ6T7gQPfE9febJFzbzYldQ8h_CYn8zR5QIA,Mouse digunakan untuk menggerakkan dan mengatur posisi kursor di layar komputer serta mengeksekusi perintah,Menggerakkan Cursor,Mouse digunakan untuk menggerakkan pointer atau kursor di layar komputer. Hal ini memungkinkan pengguna untuk memilih dan mengakses berbagai elemen di layar.,Drag and Drop,"Mengklik dan menahan tombol mouse sambil menggeser kursor untuk memindahkan objek, seperti file atau folder, ke lokasi lain.",Scrolling,"Dengan roda gulir (scroll wheel) pada mouse, pengguna dapat menggulir halaman atau dokumen secara vertikal dan kadang-kadang horizontal.",Navigasi Antarmuka Grafis,Mouse memungkinkan navigasi yang mudah dalam sistem operasi dan aplikasi yang menggunakan GUI (Graphical User Interface).
Keyboard,input,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh2byGvSsmee-C8DDe_JoQL3f8subrd6OLG-rpTXDYtZLlDkEF,Keyboard adalah perangkat input yang digunakan untuk memasukkan data dan memberikan perintah ke komputer.,Memasukkan Teks,"Keyboard digunakan untuk mengetikkan huruf, angka, simbol, dan karakter lainnya ke dalam dokumen, aplikasi, atau perangkat lunak",Fungsi Khusus,"TombolFungsi(F1-F12): Digunakan untuk tugas-tugas tertentu, tergantung pada aplikasi. Misalnya, F1 sering digunakan untuk membuka bantuan; Escape(Esc): Untuk membatalkan atau keluar dari mode tertentu; Delete dan Backspace: Untuk menghapus karakter atau elemen.",Input Cepat melalui Shortcut,"Kombinasi tombol memungkinkan pengguna melakukan tugas dengan lebih cepat dibandingkan menggunakan mouse, seperti menyimpan dokumen (Ctrl + S) atau membuka tab baru di browser (Ctrl + T)",Aksesibilitas,"Keyboard menyediakan alternatif untuk navigasi dan kontrol, membantu pengguna yang mungkin kesulitan menggunakan mouse."
Scanner,input,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRtOGPEYsed0xAEClx42cgD_r_I0ej9kCo84ddA2QBPK_V5PrCZ,"adalah perangkat input yang digunakan untuk mengubah dokumen fisik, gambar, atau objek menjadi file digital yang dapat disimpan dan diproses di komputer.",Mengonversi Dokumen Fisik ke Digital,"Scanner digunakan untuk mengubah dokumen kertas, seperti surat, laporan, atau catatan, menjadi file digital dalam format seperti PDF, JPEG, atau PNG.",Menyimpan Gambar atau Foto,"Fotofisik dapat dipindai untuk dibuat salinan digital, sehingga mudah disimpan, diarsipkan, atau dibagikan secara online.",Pengolahan Teks dengan OCR (Optical Character Recognition),"Denganbantuan perangkat lunak OCR, scanner dapat membaca teks dalam dokumen fisik dan mengubahnya menjadi teks yang dapat diedit pada komputer.",Mempermudah Arsip Dokumen,"Scanner mempermudah pengarsipan dokumen dalam bentuk digital, sehingga mengurangi kebutuhan penyimpanan fisik dan mempermudah pencarian dokumen."
Joystick,input,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQiBBhxFC3BkFT0nTdHRmUAHX2OyRFNyROAhkpDHAYONsnDNmqx,Joystick digunakan untuk memainkan permainan atau game video yang menggunakan lebihdari satu tombol. Joystick digunakan untuk menggerakan kursor pada layar permainan.,Mengontrol Pergerakan dalam Game,"Joystick memungkinkan pemain mengontrol arah dan gerakan dengan lebih presisi dalam permainan, terutama untuk game simulasi, balap, dan penerbangan",Penggunaan pada Simulasi,"Dalamsimulasi penerbangan atau kendaraan, joystick digunakan untuk meniru kontrol seperti yang ada pada alat sebenarnya, seperti kemudi pesawat atau mobil.",Fungsi Aksi,"Joystick dilengkapi dengan tombol tambahan yang dapat diprogram untuk melakukan tindakan tertentu dalam permainan, seperti menembak, melompat, atau mengaktifkan fitur khusus.",Interaksi dalam Aplikasi Khusus,"Digunakan dalam aplikasi desain 3D untuk mengontrol sudut pandang atau memanipulasi objek dalam ruang virtual. Dalam bidang medis, joystick kadang digunakan untuk mengontrol alat robotik dalam operasi"
Microphone,input,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNdS8I-Aa6S7JIVILCLyKRhwgZj_1Av3M8Nv4jqkpOksdMIG_C,"Microphone adalah perangkat yang mengkonversi suara menjadi sinyal elektrik. Perangkat ini digunakan untuk memasukkan suara ke komputer. Suara tersebut dapat direkam, sebagai perintah untuk komputer,atau diteruskan melalui media komunikasi antar komputer.",Merekam Suara,"Digunakanuntukmerekam suara manusia, alat musik, atau suara lainnya untuk kebutuhan audio, seperti podcast, lagu, atau narasi.",Penggunaan pada Perangkat Asisten Virtual,"Microphonememungkinkan penggunaberinteraksi dengan asisten virtual seperti Alexa, Siri, atau Google Assistant melalui perintah suara.",Pengontrolan Suara,"Dalamsistem berbasis suara, microphone digunakan untuk memberikan perintah, seperti mengontrol perangkat pintar rumah atau melakukan pencarian dengan suara.",Deteksi Suara dalam Sistem Keamanan,"Dalamsistem keamanan,microphone digunakan untuk mendeteksi suara tertentu, seperti alarm, percakapan, atau suara tak biasa di area pengawasan"
Barcode Reader,input,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ0mhp5LO0Gsvo0u4-2u0CGhZbhcwVdieKqJWDFnUqf7L0Iny26,Barcode reader adalah pemindai optis yang mengubah kode bar menjadi data elektrik dan mengirimkannya ke komputer. dengan format data yang sederhana.,Menginput Data Secara Otomatis,"Barcodescanner digunakan untuk memasukkan data dari kode batang langsung ke komputer, menggantikan metode input manual melalui keyboard.",Meningkatkan Kecepatan dan Efisiensi,"Memindaibarcodedenganscanner jauh lebih cepat dibandingkan dengan mengetik data secara manual, sehingga meningkatkan efisiensi kerja",Meningkatkan Akurasi,Barcodescanner mengurangi risiko kesalahan input data karena bekerja berdasarkan pembacaan kode yang presisi.,Mendukung Sistem Identifikasi,"Barcodescanner digunakan untuk identifikasi produk, dokumen, atau individu dengan memindai kartu akses atau label barcode."
Prosesor,process,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRJ1TldWV_Ow4Fks0AkeRLlozG0e8I_vtuDgknpLSk0J6P6k6VA,Prosesor Intel dan AMD adalah unit pemrosesan pusat (CPU) dalam komputer yang berfungsi sebagai otak utama untuk menjalankan berbagai operasi dan aplikasi.,Menjalankan Instruksi Komputasi,"Prosesor bertugas untuk menjalankan instruksi dari perangkat lunak atau sistem operasi. Instruksi ini mencakup perhitungan aritmatika, logika, dan pengambilan keputusan.",Memproses Data,"Prosesor membaca datadarimemori (RAM) dan perangkat penyimpanan, memprosesnya, lalu mengirimkan hasilnya kembali untuk ditampilkan atau disimpan. Iniberlaku untuk berbagai aplikasi, mulai dari pengolah kata hingga game berat.",Mengelola Multitasking,Prosesor mampumenjalankan beberapa tugas secara bersamaan menggunakan multi-core (Intel dan AMD modern biasanya memiliki beberapa inti pemrosesan).,Mendukung Grafis dan Gaming,Prosesor Intel sering dilengkapi dengan grafis terintegrasi (Intel Iris Xe atau UHD Graphics) yang cukup untuk tugas sehari-hari
RAM,process,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ0ZuFttXCSmK77lGxIvtCsmox8ZlMEsksZjWkOeG14SGBlHIRp,"RAM adalah jenis memori sangat cepat yang digunakan untuk menyimpan data sementara saat komputer sedang memproses data atau mengeksekusi perintah. Saat data dari file di penyimpan sekunder akan dimuat ke CPU untuk diolah, data tersebut akan dimuat di RAM agar dapat diproses lebih cepat.",Menyimpan Data Sementara,RAM digunakan untuk menyimpan data dan instruksi program yang sedang aktif digunakan oleh prosesor. Data ini bersifat sementara dan akan hilang saat komputer dimatikan.,Mempercepat Akses Data,"RAMmemungkinkanprosesormengakses datalebih cepat dibandingkan penyimpanan permanen seperti hard disk atau SSD, sehingga meningkatkan kinerja sistem.",MendukungMultitasking,Kapasitas RAMyangbesar memungkinkan komputer menjalankan beberapa aplikasi secara bersamaan tanpa penurunan performa.,MemuatSistemOperasi,Sistemoperasi danprogram inti dimuat ke RAM saat komputer dinyalakan untuk memastikan akses cepat selama operasi.
ROM,process,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFwX8N0oSWA9Px22vlYoJNBYkL6MdKaAvY0Q_hUjQfE7VXSgjG,"ROM adalah memori pada komputer yang digunakan untuk menyimpan instruksi yang ditulis oleh produsen komputer untuk proses booting, instruksi yang disimpan oleh ROM disebut firmware. Data yang pernah ditulis di ROM tidak dapat dihapus. Instruksi ROM dijalankan secara otomatis saat komputer menyala. Pada komputer ROM bisa berisi sistem operasi kecil yang disebut dengan Basic Input Output System (BIOS).",Menyimpan Program Inisialisasi Sistem (BIOS/UEFI),"ROMdigunakanuntuk menyimpan firmware, seperti BIOS (Basic Input Output System) atau UEFI (Unified Extensible Firmware Interface), yang bertugas menginisialisasi perangkat keras dan memulai sistem operasi saat komputer dinyalakan.",Penyimpanan Data Permanen,"Datayangdisimpan dalam ROM bersifat permanen dan tidak akan hilang meskipun daya dimatikan, menjadikannya ideal untuk menyimpan instruksi penting yang tidak perlu diubah.",Memuat Sistem Operasi,ROMmenyimpankodeyangmembantumemuatsistem operasi kedalam RAM saat komputer mulai berjalan. Ini memungkinkan proses booting yang cepat dan efisien.,Menyimpan Pengaturan Sistem,"ROMdapatmenyimpanpengaturankonfigurasi dasar perangkat keras, seperti tanggal, waktu, dan pengaturan sistem lainnya yang diperlukan selama booting."
Monitor,output,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQW2YeGKBrl_QkmYkF8z2qB7jYpQfIhYwVhRfnHgdagh28dZZre,"Layar monitor berfungsi untuk menampilkan hasil pengolahan data di komputer seperti gambar, teks, angka, grafik, dan sebagainya.",Menampilkan Output Visual,"Fungsi utama layar monitor adalah untuk menampilkan informasi grafis dan teks dari komputer, seperti sistem operasi, aplikasi, gambar, video, dan situs web.",Interaksi Pengguna,"Monitor memungkinkan pengguna berinteraksi dengan komputer, memberikan visualisasi atas perintah yang dimasukkan melalui perangkat input seperti keyboard atau mouse",Menyediakan Tampilan Antarmuka Pengguna (UI),Layar monitor digunakan untuk menampilkan antarmuka grafis (GUI) yang memudahkanpengguna untuk berinteraksi dengan aplikasi dan sistem operasi.,Menampilkan Video dan Media,"Digunakan untuk menampilkan video, film, presentasi, dan media visual lainnya dalam berbagai format, yang memungkinkan hiburan dan konsumsi informasi."
Printer,output,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3M32y_2wafgcnk4v1QMzLpNMODAnGYqGZ5caPpzWCpUy9LpXY,"Printer digunakan untuk mencetak gambar,foto, dokumen dalam bentuk media kertas.",Mencetak Dokumen,"Fungsi utama printer adalah untuk mencetak dokumen teks dan gambar yang dihasilkan oleh komputer, seperti surat, laporan, dan dokumen lainnya",Mencetak Foto,"Printer foto khusus dirancang untuk mencetak gambar dengan kualitas tinggi, memungkinkan pengguna mencetak foto pribadi atau profesional",Mencetak Presentasi dan Laporan,"Printer digunakan untuk mencetak materi presentasi, grafik, dan laporan yang diperlukan dalam rapat, seminar, atau pekerjaan profesional lainnya.",Mencetak Kartu dan Label,"Printer juga digunakan untuk mencetak kartu identitas, label produk, atau barcode yang digunakan dalam bisnis dan logistik."
Speaker,output,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT1mHF1KIxNuW0fb6kgLVis62fjGq1esEVspmkUv8toJ9F9S1PR,"Speaker untuk menghasilkan suara dari komputer seperti musik, percakapan di film, dan efek suara lainnya.",Menghasilkan Suara,"Fungsi utama speaker adalah untuk mengubah sinyal listrik menjadi gelombang suara yang dapat didengar oleh manusia, memungkinkan pengguna mendengarkan audio dari perangkat.",Memutar Musik dan Audio,"Speaker digunakan untuk memutar musik, podcast, dan konten audio lainnya dari komputer, ponsel, atau perangkat audio lainnya",Menyuarakan Suara dalam Film dan Video,"Speaker memungkinkan suara dialog, musik latar, dan efek suara dalam film atau video untuk didengar, meningkatkan pengalaman menonton.",Menangani Notifikasi dan Peringatan Suara,"Speaker digunakan untuk memberikan notifikasi suara atau peringatan sistem, seperti bunyi dering, alarm, atau suara notifikasi aplikasi di komputer dan ponsel"
Hard Disk,storage,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2ZDg2DjlIMxSc8uxsJTxwnhxNut0dFwot8gzTz1JroYM2xhh3,"Hard disk adalah media penyimpanan data dalam lapisan magnet pada piringan bulat (cakram) disk tipis. saat ini kapasitas penyimpanan yang dapat disimpan harddisk bervariasi, dari 256 GB (GigaByte) hingga 18 TB (TeraByte). Data yang di simpan dalam cakram hard disk tidak akan hilang bahkan ketika tidak ada daya listrik ( bersifat non-volatile).",Penyimpanan Data Permanen,"Fungsi utama HDD adalah untuk menyimpan data secara permanen. Data seperti sistem operasi, aplikasi, file pribadi, dan data penting lainnya disimpan di dalam HDD agar dapat diakses kapan saja.",Menyimpan Sistem Operasi,"HDD digunakan untuk menyimpan sistem operasi (seperti Windows, Linux, atau macOS) yang diperlukan untuk menjalankan komputer dan mengelola perangkat keras serta perangkat lunak",Menyimpan Aplikasi dan Program,"Semua aplikasi atau program yang diinstal pada komputer biasanya disimpan di HDD, memungkinkan pengguna untuk mengakses dan menjalankan aplikasi sesuai kebutuhan.",Penyimpanan File Pengguna,"File pribadi, seperti dokumen, gambar, video, dan musik, disimpan di HDD, memberikan ruang untuk data pengguna yang dapat diakses secara langsung"
SSD,storage,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTEWYnkpSCDkPEEZ1TDGLgRpgI7i1f90gN9M6GoP_2-_4wGzRcw,Solid-State Drive (SSD) adalah perangkat penyimpanan data yang lebih cepat dan lebih efisien dibandingkan dengan Hard Disk Drive (HDD) karena menggunakan memori flash untuk menyimpan data tanpa bagian yang bergerak.,Penyimpanan Data Permanen,"SSD berfungsi untuk menyimpan data secara permanen, seperti sistem operasi, aplikasi, file pribadi, dan data penting lainnya, seperti halnya HDD, tetapi dengan kecepatan yang jauh lebih tinggi.",Meningkatkan Kecepatan Akses Data,"SSD dapat membaca danmenulis data jauh lebih cepat dibandingkan HDD, sehingga meningkatkan kecepatan booting sistem operasi, peluncuran aplikasi, dan transfer file.",Meningkatkan Performa Sistem,SSD mengurangi waktu loading dan meningkatkan performa keseluruhan komputer. Pengguna dapat merasakan respons yang lebih cepat dalam penggunaan aplikasi dan multitasking.,Penyimpanan Sistem Operasi,"Sistem operasi sering diinstal di SSD untuk memanfaatkan kecepatan baca/tulis yang lebih cepat, mempercepat proses booting dan respons sistem."
Flash Drive,storage,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcReK3s3_JkbwejLoJJ_X8Dila0Cbi1wxT_TCswQWQnD2yPH0528,"Flash Disk (juga dikenal sebagai USB Flash Drive, thumb drive, atau pen drive) adalah perangkat penyimpanan data portabel yang menggunakan memori flash untuk menyimpan data.",Penyimpanan Data Portabel,"Flash disk memungkinkan pengguna untuk menyimpan data secara portabel dan memindahkannya antara perangkat, seperti komputer, laptop, dan ponsel. Ini memudahkantransfer file antar perangkat tanpa memerlukan koneksi internet.",Transfer Data Antar Perangkat,"Flash disk digunakan untuk memindahkan file dan data antar komputer atau perangkat lain. Pengguna dapat menyalin file, seperti dokumen, gambar, video, dan lainnya, untuk dipindahkan ke perangkat lain secara mudah",Cadangan Data,"Flash disk sering digunakan untuk membuat salinan cadangan (backup) file penting, sehingga pengguna dapat mengakses data tersebut meskipun perangkat utama mengalami kerusakan",Menjalankan Aplikasi Portabel,Beberapa aplikasi dapat dijalankan langsung dari flash disk tanpa perlu diinstal di komputer. Ini memungkinkan pengguna membawa perangkat lunak penting dan menjalankannya di berbagai komputer
CD,storage,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUvTt2ZOdEu0NXwzNDpdWFsdKSN8_Ax1Fgg53zPrvTJRqu-RPt,"Compact Disc (CD) adalah media penyimpanan optik yang digunakan untuk menyimpan data digital dalam bentuk audio, video, atau file komputer. Berikut adalah",Penyimpanan Musik,Fungsi paling umum dari CD adalah sebagai media untuk menyimpan musik dalam format CD Audio (Red Book standard). CD memungkinkan pengguna mendengarkan album atau lagu dengan kualitas suara digital yang jelas dan stabil.,Penyimpanan Data Komputer,"CD dapat digunakan untuk menyimpan data komputer, seperti dokumen, aplikasi, dan file lainnya. Sebelum teknologi penyimpanan yang lebih modern, CD digunakan untuk distribusi perangkat lunak atau sebagai media backup",Distribusi Perangkat Lunak,"Pada masa lalu, banyak perangkat lunak dan game yang didistribusikan melalui CD. CD digunakan untuk menginstal perangkat lunak atau game pada komputer, dan ini adalah cara umumuntukmendistribusikan produk-produk tersebut",Penyimpanan Video,"CD juga dapat digunakan untuk menyimpan video dalam format tertentu, meskipun untuk kualitas video yang lebih tinggi, format DVD atau Blu-ray lebih sering digunakan."
Memory Card,storage,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTzbPALSO2gPPiVxRR0gbTmd1N6NfsBu0_PaM6pmoytLeL6T81R,"Memory Card (SD Card) adalah perangkat penyimpanan portabel yang menggunakan memori flash untuk menyimpan data, sering digunakan dalam berbagai perangkat elektronik seperti kamera digital, ponsel, tablet, dan perangkat lain.",Penyimpanan Data Portabel,"Fungsi utama dari SD card adalah menyimpan data secara portabel. Pengguna dapat menyimpan berbagai jenis file seperti foto, video, musik, dokumen, dan lainnya di SD card dan memindahkannya antar perangkat",Meningkatkan Penyimpanan pada Perangkat Elektronik,"SD card digunakan untuk memperluas kapasitas penyimpanan pada perangkat dengan ruang penyimpanan terbatas, seperti ponsel, kamera digital, tablet, dan perangkat lainnya.",Penyimpanan Foto dan Video,"Dalam kamera digital atau ponsel, SD card digunakan untuk menyimpan foto dan video yang diambil. Dengan kapasitas yang besar, SD card memungkinkan pengguna untuk mengambil banyak gambar dan video tanpa khawatir kehabisan ruang penyimpanan.",Penyimpanan Aplikasi dan Data Ponsel,"Pada ponsel atau tablet, SD card sering digunakan untuk menyimpan aplikasi, data aplikasi, dan file lainnya untuk menghemat ruang penyimpanan internal perangkat"
